identifier,category,requirement,expected,test_nodes,status,exit_code,duration_seconds,evidence
ROB-011,provenance,Controlled-generator provenance cannot be attached to substituted canonical rows.,Generator-equivalence verification rejects altered canonical content.,tests/unit/test_phase13_integrity.py::test_controlled_demo_resplit_rejects_reissued_arbitrary_canonical_rows,PASS,0,2.8947749169310555,.                                                                        [100%] | 1 passed in 2.42s
ROB-012,fusion-identity,Fusion refitting requires verified Phase 5/6 model and schema identities.,Model or feature-schema drift is rejected before policy fitting.,tests/unit/test_phase13_integrity.py::test_fusion_refit_rejects_unverified_model_and_schema_identities,PASS,0,2.9249466250184923,.                                                                        [100%] | 1 passed in 2.46s
ROB-013,json-bounds,JSON arrays and JSONL are parsed incrementally with record-size limits.,Oversized records are rejected without whole-file materialization.,tests/security/test_phase13_input_limits.py::test_json_array_and_jsonl_enforce_limits_during_incremental_parsing,PASS,0,3.9537915838882327,.                                                                        [100%] | 1 passed in 3.28s
ROB-014,pcapng-bounds,PCAPNG interface metadata cannot grow without a configured bound.,Excess interface blocks are rejected before packet processing.,tests/security/test_phase13_input_limits.py::test_pcapng_interface_inventory_is_bounded_before_packet_processing,PASS,0,3.9354196659987792,.                                                                        [100%] | 1 passed in 3.26s
ROB-015,file-size-boundary,Staged uploads enforce the configured size and remove partial files.,An oversized file is rejected and no staging residue remains.,tests/unit/test_file_storage.py::test_storage_enforces_size_and_removes_staging_file,PASS,0,0.5498081250116229,.                                                                        [100%] | 1 passed in 0.28s
ROB-016,idempotent-demo,The real sample demo is restart-safe and idempotent.,Repeated execution returns stable evidence without duplicate durable state.,tests/e2e/test_phase_12_api_frontend.py::test_sample_demo_runs_full_existing_pipeline_idempotently,PASS,0,45.957093165954575,.                                                                        [100%] | 1 passed in 45.20s
ROB-017,atomic-flow-persistence,Packet-processing failure cannot leave partial NetworkFlow rows.,The ingestion job fails safely and the transaction leaves no partial flows.,tests/integration/test_pcap_flow_processing.py::test_packet_failure_persists_failed_job_without_partial_flows,PASS,0,0.6786714160116389,.                                                                        [100%] | 1 passed in 0.35s
ROB-018,exact-upload-boundary,Upload staging distinguishes exactly-at-limit from over-limit content.,Exact-limit bytes persist and the next byte is rejected without staging residue.,tests/security/test_phase13_input_limits.py::test_upload_staging_accepts_exact_limit_and_cleans_exceeded_limit,PASS,0,4.117954417015426,.                                                                        [100%] | 1 passed in 3.44s
ROB-019,cross-split-near-duplicate,Cross-split near duplicates are detected across quantization boundaries.,Values inside the declared tolerance fail the leakage gate despite rounded-bin drift.,tests/unit/test_phase13_integrity.py::test_cross_split_near_duplicates_cover_quantization_boundaries,PASS,0,2.8633582500042394,.                                                                        [100%] | 1 passed in 2.39s
ROB-020,supervised-bundle-contract,"Supervised schema drift, corruption, unsafe files, and frozen-test repetition fail closed.",Isolated evidence is deterministic and invalid bundles or inference contracts are rejected.,tests/e2e/test_phase_05_supervised_pipeline.py::test_phase_05_selection_test_bundle_and_independent_reload,PASS,0,13.907541624968871,.                                                                        [100%] | 1 passed in 13.51s
ROB-021,fusion-policy-contract,"Fusion policy inventory, checksum, and filesystem boundaries are verified.","Extra, corrupt, missing, and unsafe policy artifacts are rejected.",tests/integration/test_fusion_workflow.py::test_policy_reload_is_deterministic_and_rejects_extra_corrupt_or_unsafe_files,PASS,0,12.50622058310546,.                                                                        [100%] | 1 passed in 11.88s
