requirement_id,requirement,source,implementation_evidence,test_evidence,documentation_evidence,status,limitation,reviewer_note
P14-SAMPLES,Safe final controlled PCAP assets,User request / final deliverables,scripts/generate_phase14_samples.py; data/sample/phase14-*,Sample checksum parser and determinism tests,data/sample/README.md,PASS,Source provenance/license and labels unverified,No source payload/address copied
P14-BUNDLE,Reproducible exact-inventory release bundle,Project Plan Definition of Done,src/aegishunt/delivery; scripts/build_release_bundle.py,Release manifest corruption/missing/extra/collision tests,docs/release_checklist.md,PASS,Generated bundle remains ignored,Final PR Head must be rebuilt after status metadata commits
P14-DOCS,Complete installation architecture model protocol and limits,Roadmap Phase 14,docs/,Phase 14 documentation/link/status tests,README.md; docs/thesis/artifact_index.md,PASS,Author must review thesis insertion,No invented citation
P14-EVIDENCE,Source-backed figures tables and experiment summary,Roadmap Phase 14,scripts/build_final_figures.py; scripts/build_final_tables.py,Manifest source/output checksum tests,docs/final_experiment_summary.md,PASS,Controlled/development-host boundaries retained,Missing evidence never becomes zero
P14-DEMO,PCAP-to-feedback local demonstration,Project Plan Definition of Done,Existing Phase 2-12 services plus final samples,Phase 14 full-chain E2E and restart test,docs/demo_guide.md; docs/demo_script_3_5_minutes.md,PASS,No fixed runtime IDs or guaranteed counts,Explicit action only
SEC-NOROOT,No root admin live capture or external target,Project Plan security boundary,CLI file replay and non-root containers,Security/runtime/Docker tests,docs/threat_model.md,PASS,Docker daemon administration is separate,Application processes are non-root
SEC-SECRETS,No secrets database formal models or generated release committed,AGENTS.md / Roadmap,.gitignore; .dockerignore; release filters,Repository hygiene and security gates,docs/release_checklist.md,PASS,One bounded historical blob scanner exclusion,Current tracked files remain scanned
RESEARCH-METRICS,Required supervised anomaly fusion operational hunting metrics retained,Project Plan research requirements,Model/fusion/runtime/hunting evidence contracts,Phase 5-13 experiment and integration tests,docs/final_experiment_summary.md,PASS,Not all metrics defined for every tiny split,Unavailable metrics remain unavailable
RESEARCH-EXTERNAL,Public benchmark and real-world validation,Project Plan research ambition,Static registry/mappings only,No completed external benchmark test,docs/limitations.md,PARTIAL,License-controlled acquisition and external validation not performed,Must not be represented as AegisHunt benchmark result
PROD-AUTH,Production authentication authorization and TLS,Out of scope,None,NOT_APPLICABLE,docs/threat_model.md,NOT_APPLICABLE,Explicitly out of scope,Required before public deployment
